source,target,weight
AI,世界,1
AI,世界,1
AI,信息,1
AI,办公,1
AI,发明,1
AI,工作,1
AI,工程师,1
AI,快,1
AI,快捷,1
AI,快,1
AI,打字,1
AI,数据,1
AI,电,1
AI,硅,1
AI,科技,1
AI,程序,1
AI,编程,1
AI,网吧,1
AI,网络,1
AI,芯片,1
AI,计算,1
AI,路由器,1
AI,键盘,1
AI,鼠标,1
AI,信息,1
AI,工程师,1
AI,编程,1
AI,键盘,1
peace,世界,1
peace,人类,1
peace,俄乌,1
peace,发展,1
peace,和谐,1
peace,国家,1
peace,安宁,1
peace,安详的小镇,1
peace,安静,1
peace,巧克力,1
peace,平和,1
peace,年代,1
peace,惬意的生活,1
peace,愿景,1
peace,战争,1
peace,有爱,1
peace,柯南,1
peace,橄榄枝,1
peace,正义,1
peace,武,1
peace,武器,1
peace,毕加索,1
peace,气球,1
peace,灾难,1
peace,爱,1
peace,牺牲,1
peace,珍贵,1
peace,白色,1
peace,白鸽,1
peace,精英,1
peace,繁荣昌盛,1
peace,维护,1
peace,绿色,1
peace,美丽的乡村,1
peace,美好,1
peace,联合国,1
peace,追求,1
peace,饭店,1
peace,鸽,1
peace,鸽子,1
sleep,做梦,1
sleep,夜晚,1
sleep,年轻,1
sleep,累,1
sleep,躺,1
sleep,醒,1
love,付出,1
love,和平,1
love,国家,1
love,女儿,1
love,愉悦,1
love,无私,1
love,正面,1
love,母亲,1
love,爱心,1
love,父母,1
love,美好,1
一定,一定,1
一定,不可或缺,1
一定,不可或缺,1
一定,东西,1
一定,书,1
一定,交流,1
一定,亲人,1
一定,养分,1
一定,军需,1
一定,坚持,1
一定,基本,1
一定,少不了,1
一定,开支,1
一定,必备,1
一定,必然,1
一定,想法,1
一定,房子,1
一定,条件,1
一定,水源,1
一定,爱,1
一定,物品,1
一定,物资,1
一定,生命指征,1
一定,生活品,1
一定,生活用品,1
一定,生活费,1
一定,生话物资,1
一定,用品,1
一定,空气,1
一定,肯定,1
一定,药品,1
一定,营养,1
一定,行动,1
一定,衣服,1
一定,解决,1
一定,重要性,1
一定,需求,1
一定,需要,1
一定,食物,1
一定,不可或缺,1
一定,养分,1
三观,一定,1
三观,一定,1
三观,不可或缺,1
三观,不可或缺,1
三观,东西,1
三观,书,1
三观,交流,1
三观,亲人,1
三观,养分,1
三观,军需,1
三观,务必,1
三观,坚持,1
三观,基本,1
三观,学习,1
三观,少不了,1
三观,开支,1
三观,得,1
三观,必备,1
三观,必然,1
三观,必须,1
三观,想法,1
三观,房子,1
三观,日用品,1
三观,条件,1
三观,水,1
三观,水源,1
三观,爱,1
三观,物品,1
三观,物资,1
三观,生命指征,1
三观,生活品,1
三观,生活必需品,1
三观,生活用品,1
三观,生活费,1
三观,生话物资,1
三观,用品,1
三观,电脑,1
三观,空气,1
三观,粮食,1
三观,肯定,1
三观,药品,1
三观,营养,1
三观,行动,1
三观,衣服,1
三观,解决,1
三观,资格,1
三观,重要性,1
三观,需求,1
三观,需要,1
三观,食物,1
上网,AI,1
上网,Ai,1
上网,世界,1
上网,世界,1
上网,互联网,1
上网,信息,1
上网,办公,1
上网,发明,1
上网,工作,1
上网,工科,1
上网,工程师,1
上网,快,1
上网,快捷,1
上网,快,1
上网,打字,1
上网,数据,1
上网,电,1
上网,硅,1
上网,科技,1
上网,程序,1
上网,编程,1
上网,网吧,1
上网,网络,1
上网,联系,1
上网,芯片,1
上网,视频,1
上网,计算,1
上网,路由器,1
上网,速度,1
上网,键盘,1
上网,鼠标,1
不全,发展,1
不全,发育,1
不全,同情心,1
不全,头脑,1
不全,奇葩,1
不全,孩子,1
不全,幼稚,1
不全,心情,1
不全,心理,1
不全,心里,1
不全,思维,1
不全,情商,1
不全,成人,1
不全,智力,1
不全,智者,1
不全,笨,1
不全,联想,1
不全,行动,1
不全,高科技,1
不公平,不公正,1
不公平,不正,1
不公平,中立,1
不公平,倾向,1
不公平,偏好,1
不公平,偏执,1
不公平,偏爱,1
不公平,偏离,1
不公平,偏袒,1
不公平,偏见,1
不公平,公平,1
不公平,公正,1
不公平,兴趣,1
不公平,动态,1
不公平,北方,1
不公平,南方,1
不公平,唱跳,1
不公平,喜好,1
不公平,回归,1
不公平,女儿,1
不公平,委屈,1
不公平,嫉妒,1
不公平,宠爱,1
不公平,帅哥,1
不公平,态度,1
不公平,性别,1
不公平,意见,1
不公平,指南针,1
不公平,方向,1
不公平,歪道,1
不公平,甜食,1
不公平,生活方式,1
不公平,男性,1
不公平,篮球,1
不公平,袒护,1
不公平,趋势,1
不公平,转向,1
不公平,远方,1
不公平,迷路,1
不公正,偏离,1
不公正,动态,1
不公正,女儿,1
不公正,宠爱,1
不公正,态度,1
不公正,性别,1
不公正,意见,1
不公正,篮球,1
不公正,袒护,1
不变,信息,1
不变,共产主义,1
不可估量,人生价值,1
不可估量,社会主义,1
不可估量,自由,1
不可估量,连城,1
不可动摇,不变,1
不可动摇,信息,1
不可动摇,共产主义,1
不可动摇,必胜,1
不可动摇,正面,1
不可动摇,理想,1
不可动摇,社会主义,1
不可动摇,革命,1
不可或缺,一定,1
不可或缺,不可或缺,1
不可或缺,养分,1
不可或缺,必然,1
不可或缺,用品,1
不合适,合适,1
不合适,时候,1
不合适,理由,1
不合适,舒适,1
不合适,表情,1
不合适,言行举止,1
不合适,语言,1
不合适,饮酒,1
不好,假,1
不好,健康问题,1
不好,含沙斜影,1
不好,咬不动,1
不好,坏,1
不好,年老,1
不好,年轻,1
不好,年龄大,1
不好,延迟退休,1
不好,慈祥,1
不好,房子,1
不好,指出,1
不好,指桑骂槐,1
不好,改造,1
不好,旧,1
不好,时间长,1
不好,明示,1
不好,晦涩,1
不好,暗喻,1
不好,暗示,1
不好,比喻,1
不好,父母,1
不好,猜测,1
不好,用意,1
不好,疾病,1
不好,皱纹,1
不好,直白,1
不好,直说,1
不好,破损,1
不好,破旧,1
不好,箭头,1
不好,经验,1
不好,老人,1
不好,老年,1
不好,老黄牛,1
不好,老龄化,1
不好,联想,1
不好,背后,1
不好,表达,1
不好,衰弱,1
不好,言下之意,1
不好,语言,1
不好,银发,1
不好,阅历,1
不好,隐含,1
不好,隐喻,1
不好,食物,1
不好,黑幕,1
不容易,困难,1
不容易,困难,1
不容易,套路,1
不容易,思维,1
不容易,思维模式,1
不容易,数学题,1
不容易,杂乱,1
不容易,纯洁,1
不容易,题目,1
不平坦,不平凡,1
不平坦,任务,1
不平坦,做,1
不平坦,做饭,1
不平坦,偿还,1
不平坦,兴趣,1
不平坦,创新,1
不平坦,加油,1
不平坦,努力,1
不平坦,勇敢,1
不平坦,勇气,1
不平坦,另一种活法,1
