source,target,weight
false,true,2
false,achieve,1
false,adventure,1
false,aim,1
false,assist,1
false,assume,1
false,assumme,1
false,attack,1
false,attempt-to-do-something,1
false,attemptation,1
false,attempted,1
false,attempting,1
false,attend,1
false,attention,1
false,belief,1
false,believe,2
false,bride,1
false,catch,1
false,chance,1
false,chinese,1
false,chinese-red,1
false,cognitive,1
false,confidence,1
false,consider,1
false,control,1
false,conviction,1
false,count,1
false,country,1
false,courage,1
false,credit,1
false,decision,1
false,deem,1
false,defeat,1
false,devoted,1
false,diligence,1
false,do,1
false,dog,1
false,dream,1
false,eager,1
false,effort,1
false,efforts,1
false,endeavor,1
false,endeavour,1
false,equal,1
false,essay,1
false,expect,1
false,face,1
false,facts,1
false,fail,1
false,failure,1
false,faithful,1
false,faithfully,1
false,fake,1
false,family,2
false,fate,1
false,find,1
false,firm,1
false,firmness,1
false,friends,1
false,futile,1
false,goal,1
false,god,1
false,good,1
false,guess,1
false,hope,1
false,husband,1
false,hypothesis,1
false,hypothetical,1
false,hypothe?€?size,1
false,idea,2
false,if,1
false,imagine,1
false,implication,1
false,intention,1
false,intentional,1
false,kill,1
false,lie,1
false,logic,1
false,loyal,1
false,loyalty,1
false,lure,1
false,manage,1
false,maths,1
false,meaning,1
false,military,1
false,money,1
false,motherland,1
false,note,1
false,oppose,1
false,party,1
false,people,3
false,perseverance,1
false,persist,1
false,pious,1
false,plan,1
false,pose,1
false,predict,1
false,premise,1
false,presume,1
false,problem,1
false,purpose,1
false,real,2
false,reality,1
false,recall,1
false,religion,1
false,run,1
false,seek,1
false,send,1
false,servant,1
false,situation,1
false,soldier,1
false,strength,1
false,strive,1
false,strong,1
false,success,1
false,such,1
false,suggest,1
false,support,2
false,suppress,1
false,sway,1
false,temple,1
false,tempt,1
false,theory,1
false,thing,1
false,think,2
false,tired,1
false,to,1
false,triumph,1
false,trust,1
false,truth,1
false,try,1
false,uncertainty,1
false,undertake,1
false,verb,1
false,victory,1
false,want,2
false,wedding,1
false,white,1
false,will,1
false,win,1
false,work,1
false,you,1
false,youth,1
true,assist,1
true,assume,1
true,assumme,1
true,belief,1
true,believe,2
true,bride,1
true,chinese,1
true,chinese-red,1
true,cognitive,1
true,confidence,1
true,consider,1
true,conviction,1
true,count,1
true,country,1
true,courage,1
true,credit,1
true,decision,1
true,deem,1
true,defeat,1
true,devoted,1
true,dog,1
true,dream,1
true,equal,1
true,expect,1
true,face,1
true,facts,1
true,faithful,1
true,faithfully,1
true,fake,1
true,family,2
true,fate,1
true,find,1
true,firm,1
true,firmness,1
true,friends,1
true,goal,1
true,god,1
true,good,1
true,guess,1
true,hope,1
true,husband,1
true,hypothesis,1
true,hypothetical,1
true,hypothe?€?size,1
true,idea,2
true,if,1
true,imagine,1
true,lie,1
true,logic,1
true,loyal,1
true,loyalty,1
true,maths,1
true,military,1
true,money,1
true,motherland,1
true,note,1
true,oppose,1
true,party,1
true,people,2
true,perseverance,1
true,persist,1
true,pious,1
true,pose,1
true,predict,1
true,premise,1
true,presume,1
true,problem,1
true,real,2
true,reality,1
true,recall,1
true,religion,1
true,send,1
true,servant,1
true,situation,1
true,soldier,1
true,strength,1
true,strong,1
true,such,1
true,suggest,1
true,support,2
true,suppress,1
true,sway,1
true,theory,1
true,think,2
true,trust,1
true,truth,1
true,uncertainty,1
true,want,1
true,wedding,1
true,white,1
true,will,1
true,you,1
true,youth,1
abandon,arms,1
abandon,attack,1
abandon,away,1
abandon,ball,1
abandon,basket-ball,1
abandon,book,1
abandon,cast,1
abandon,catch,1
abandon,children,1
abandon,dart,1
abandon,desert,1
abandon,dirt,1
abandon,dogs,1
abandon,drop,1
abandon,far,1
abandon,flip,1
abandon,flop,1
abandon,fly,1
abandon,glance,1
abandon,history,1
abandon,junk,1
abandon,litter,1
abandon,long,1
abandon,mind,1
abandon,move,1
abandon,old-books,1
abandon,paper,1
abandon,pick,1
abandon,pitch,1
abandon,punch,1
abandon,risk,1
abandon,rubbish,1
abandon,sling,1
abandon,sporting,1
abandon,sports,1
abandon,stone,1
abandon,strength,1
abandon,swallow,1
abandon,there,1
abandon,things,1
abandon,this,1
abandon,throat,1
abandon,thrust,1
abandon,trash,1
abandon,waste,1
abandon,weapon,1
abandon,words,1
absorb,attention,1
absorb,attraction,1
absorb,beauty,1
absorb,capture,1
absorb,induce,1
absorb,interest,1
absorb,lady,1
absorb,place,1
abstract,age,1
abstract,aim,1
abstract,appoint,1
abstract,assign,1
abstract,characteristic,1
abstract,destination,1
abstract,detail,1
abstract,detailed,1
abstract,ex-act,1
abstract,generally,1
abstract,instructions,1
abstract,news,1
abstract,particularly,1
abstract,purpose,1
abstract,real,1
abstract,special,1
abstract,spread,1
abstract,tang,1
abstract,trivial,1
abstract,unique,1
abstract,word,1
acceptance,application,1
acceptance,bad,1
acceptance,boss,1
acceptance,clue,1
acceptance,contain,1
acceptance,emotion,1
acceptance,exist,1
acceptance,heart,1
acceptance,imagine,1
acceptance,implication,1
acceptance,indirect,1
acceptance,infer,1
acceptance,innuendo,1
acceptance,insinuate,1
acceptance,knowledge,1
acceptance,language,1
acceptance,meaning,1
acceptance,meaningful,1
acceptance,question,1
acceptance,real,1
acceptance,secret,1
acceptance,speech,1
acceptance,supply,1
acceptance,tired,1
acceptance,underline,1
acceptance,unsaid,1
access,ai,1
access,boot,1
access,boy,1
access,break-down,1
access,calculate,1
access,cellphone,1
access,chatgpt,1
access,complicated,1
access,convinience,1
access,count,1
access,cpu,1
access,creation,1
access,detached,1
access,digital,1
access,fast,1
access,game,1
access,games,1
access,good,1
access,huawei,1
access,information,1
access,intelligence,1
access,internet,1
access,key,1
access,keyboard,1
access,laptop,1
access,literacy,1
access,log,1
