source,target,weight
0,180,1
0,一些,1
0,一定,1
0,上天,1
0,不为人知,1
0,不可或缺,1
0,不合意,1
0,不当,1
0,不必,1
0,不必要,1
0,不恰当,1
0,不正常,1
0,乐观,1
0,事件,2
0,事物,1
0,交流,1
0,交白卷,1
0,人,1
0,付出,1
0,价值,2
0,休息,1
0,体重,1
0,你,1
0,关心,1
0,再一次,1
0,分量,1
0,刚好,1
0,创新,1
0,努力,2
0,劳累,1
0,勇敢,1
0,勇气,1
0,勤奋,1
0,匹配,1
0,反抗,1
0,合理,1
0,合适,1
0,品格,1
0,回报,1
0,困难,1
0,坚持,1
0,夜路,1
0,天平,1
0,失败,1
0,妹妹,1
0,委婉,1
0,娱乐,1
0,学习,3
0,学生,1
0,完美,1
0,实验,1
0,害怕,1
0,家,2
0,尝试,1
0,开心,1
0,开拓,1
0,开身,1
0,当然,1
0,形容词,1
0,必要,2
0,必要品,1
0,必需品,1
0,必须,1
0,忐忑,1
0,快乐,1
0,恰好,1
0,恰当,1
0,成功,1
0,成败,1
0,成长,1
0,手,1
0,打闹,1
0,挫折,1
0,握手,1
0,搜索,1
0,放弃,1
0,放松,1
0,新鲜,1
0,方法,1
0,旅游,1
0,无关紧要,1
0,无用,1
0,有必要,1
0,有用,1
0,机会,1
0,材料,1
0,条件,1
0,极限,1
0,正常,1
0,正确,1
0,氧气,1
0,水,2
0,水洼,1
0,沟通,1
0,没必要,1
0,注意事项,1
0,液体,1
0,温度,1
0,游戏,1
0,点到为止,1
0,热心,1
0,牙刷,1
0,牙套,1
0,物品,1
0,玩笑,1
0,环境,1
0,理想,2
0,生命,1
0,生活,1
0,生活用品,1
0,疲惫,1
0,盐,1
0,相似,1
0,确实,1
0,禁止,1
0,空气,1
0,突破,1
0,第一次,1
0,管教,1
0,米饭,1
0,肯定,1
0,自信心,1
0,自由,1
0,自行车,1
0,艰难,1
0,虚假,1
0,行为,1
0,行动,1
0,议见,1
0,试探,1
0,语气,1
0,调侃,1
0,调味品,1
0,资源,1
0,超越,1
0,距离,1
0,身高,1
0,躲避,1
0,轻轻,1
0,过大,1
0,过度,1
0,过激,1
0,运动,2
0,追星,1
0,适合,1
0,适当,1
0,适量,1
0,选项,1
0,重要,1
0,金钱,1
0,钱,1
0,错误,1
0,陪伴,1
0,随意,1
0,难题,1
0,题目,1
0,风险,1
0,食物,1
0,饭,1
0,骑手,1
0,鼓励,1
180,不合意,1
180,不当,1
180,不恰当,1
180,不正常,1
180,交流,1
180,体重,1
180,分量,1
180,劳累,1
180,合理,1
180,委婉,1
180,必要,1
180,恰好,1
180,打闹,1
180,方法,1
180,材料,1
180,正常,1
180,正确,1
180,水,1
180,温度,1
180,玩笑,1
180,理想,1
180,疲惫,1
180,确实,1
180,虚假,1
180,议见,1
180,调侃,1
180,轻轻,1
180,过大,1
180,过度,1
180,过激,1
180,追星,1
180,适合,1
180,适当,1
180,适量,1
180,随意,1
180,题目,1
XY,不确定,1
XY,世界,1
XY,严谨,1
XY,例如,1
