source,target,weight
0,0,1
0,一定,1
0,一语成谶,1
0,不公,1
0,不可或缺,1
0,不必需,1
0,不成熟,1
0,不易解决,1
0,专注,1
0,世界,2
0,东西,2
0,丢,1
0,丢弃,1
0,严谨,1
0,个人,2
0,中国,1
0,中庸,1
0,举例子,1
0,举起,1
0,书,1
0,乱七八糟,1
0,事实,1
0,事情,1
0,五月天,1
0,享受,1
0,人,3
0,人心,1
0,人才,1
0,人生,1
0,价值,2
0,休息,1
0,伟大,1
0,位置,1
0,体验,2
0,佛教,1
0,例子,1
0,信仰,1
0,信任,1
0,信徒,1
0,信心,1
0,信念,1
0,信感,1
0,倒向,1
0,倾向,1
0,倾斜,1
0,假,1
0,假如,1
0,假定,1
0,假装,1
0,假说,1
0,偏好,1
0,偏心,1
0,偏执,1
0,偏爱,1
0,偏移,1
0,偏见,1
0,做梦,1
0,做法,1
0,健全,1
0,健康,2
0,傻,1
0,兑现,1
0,公平,1
0,公式,1
0,共同富裕,1
0,关系,2
0,关键,1
0,兴趣,1
0,内容,1
0,内心,1
0,内心世界,1
0,冗杂,1
0,决定,1
0,决绝,1
0,冷,1
0,准备,1
0,准确,1
0,出去,1
0,出门,1
0,分享,1
0,刚好,1
0,前提,1
0,剑,1
0,动力,1
0,动物,1
0,动物语言,1
0,努力,1
0,勇敢,1
0,勇气,1
0,单纯,1
0,厌恶,1
0,反复,1
0,发展,1
0,取,1
0,变量,1
0,口渴,1
0,可能,1
0,可行,1
0,右边,1
0,吃,1
0,合适,1
0,命题,1
0,品质,1
0,喜好,1
0,喜欢,1
0,喜爱,1
0,器械,1
0,四通八达,1
0,困难,1
0,国家,1
0,土地,1
0,地,1
0,地形,1
0,地板,1
0,地面,2
0,坏情绪,1
0,坚定,1
0,坚持,1
0,垃圾,1
0,基本,1
0,备用,1
0,大地,1
0,天时地利人和,1
0,天气,1
0,太阳,1
0,头发,2
0,头脑,1
0,奇迹,1
0,奋斗,1
0,契机,1
0,奶酪,1
0,好,1
0,好人,1
0,好吃,1
0,好处,1
0,如果,1
0,存在,1
0,完善,1
0,完成,1
0,完整,1
0,完美,1
