source,target,weight
0,True,3
0,a,1
0,abandon,1
0,absorb,1
0,abstract,1
0,achieve,2
0,acquaint,1
0,act,1
0,action,2
0,actuall,1
0,add,1
0,adore,1
0,advance,1
0,advanced,1
0,advertisement,1
0,advice,2
0,agree,1
0,ai,1
0,aim,1
0,allure,1
0,alone,1
0,ample,1
0,amply,1
0,amusedly,1
0,angel,1
0,angry,1
0,animal,1
0,appeal,1
0,apply,1
0,appropriate,1
0,apps,1
0,apt,1
0,army,1
0,arouse,1
0,ask,1
0,assume,1
0,assumption,1
0,at,1
0,attack,2
0,attempted,1
0,attemption,1
0,attend,1
0,attendant,1
0,attention,2
0,attracted,1
0,attraction,1
0,attractive,1
0,available,1
0,awareness,1
0,away,1
0,background,1
0,bad,1
0,ball,1
0,base,1
0,basic,1
0,basketball,1
0,beach,1
0,bear,1
0,beautiful,2
0,believe,1
0,best,1
0,better,1
0,bias,1
0,bin,1
0,bird,1
0,black,1
0,blurry,1
0,body,1
0,book,3
0,boring,1
0,bracket,1
0,brave,1
0,british,1
0,building,1
0,business,1
0,calculate,1
0,calculator,1
0,canbin,1
0,careful,1
0,carry-out,1
0,case,2
0,cast,1
0,catch,1
0,cause,2
0,certain,1
0,chance,1
0,chances,1
0,change,1
0,character,1
0,charm,1
0,charming,1
0,children,1
0,choice,2
0,choose,2
0,chosen,1
0,clause,1
0,clear,2
0,clothes,1
0,clue,1
0,color,1
0,come,1
0,come-true,1
0,comfortable,1
0,compare,1
0,competition,1
0,complete,2
0,completely,1
0,complex,1
0,complexity,1
0,complicate,1
0,complicated,1
0,comply,1
0,comprehensive,1
0,computer,2
0,conclude,1
0,concrete,1
0,consciousness,1
0,consumer,1
0,contempt,2
0,contract,1
0,convenient,1
0,cooperation,1
0,core,1
0,correct,2
0,could,1
0,country,1
0,cpu,1
0,crazy,1
0,cripple,1
0,critical,1
0,crucial,1
0,cry,1
0,cure,1
0,curve,1
0,data,1
0,date,1
0,deal,1
0,death,1
0,deep,1
0,define,1
0,definite,2
0,demand,1
0,desire,1
0,desktop,1
0,detail,1
0,detailed,1
0,determination,2
0,develop,1
0,development,1
0,difference,1
0,different,1
0,difficult,2
0,disappointedly,1
0,discover,1
0,do,2
0,document,1
0,doggy,1
0,dove,1
0,dream,2
0,easy,2
0,eat,2
0,eazy,1
0,economic,1
0,effect,1
0,effort,1
0,element,1
0,encourage,1
0,endeavor,1
0,engineering,1
0,entitative,1
0,epiphany,1
0,especial,1
0,essay,3
0,essence,1
0,essentially,1
0,etiquette,1
0,exam,2
0,examination,1
0,example,1
0,except,1
0,excited,1
0,expectation,1
0,experience,1
0,expert,1
0,express,1
0,expression,1
0,extra,1
0,face,2
0,fact,2
0,faithfully,1
0,fake,1
0,family,1
0,fancy,1
0,far,1
0,fascinate,1
0,favor,1
0,favored,1
0,favorite,1
0,fearlessly,1
0,feel,1
0,feeling,1
0,fight,1
0,file,1
0,fill,1
0,finish,1
0,firecracker,1
0,first,1
0,fit,1
0,fond,1
0,food,2
0,for,1
0,formal,1
0,foundation,1
0,friend,2
0,friendly,2
0,fulfill,1
0,fun,1
0,function,1
0,fundamental,1
0,future,1
0,game,2
0,games,1
0,general,1
0,gentle,1
0,genuine,1
0,gift,1
0,giggle,1
0,girl,1
0,goal,1
0,good,8
0,goodness,1
0,grammar,1
0,grasp,2
0,green,1
0,grim,1
0,guess,2
0,habit,1
0,hand,1
0,happiness,2
0,happy,4
0,hard,3
0,harmony,1
0,hate,1
0,head,1
0,healthy,1
0,heart,2
0,heat,1
0,help,2
0,hide,1
0,high,1
0,hint,1
0,hit,1
0,hobby,1
0,homework,1
0,hope,1
0,hopefully,1
0,idea,3
0,imagine,1
0,impact,1
0,implement,2
0,implication,1
0,implied,1
0,imply,1
0,import,1
0,importance,1
0,important,2
0,impose,1
0,impossible,1
0,in,1
0,indicate,1
0,indifferent,1
0,indirect,1
0,individual,1
0,infer,2
0,information,1
0,inner,1
0,innovate,1
0,inside,1
0,insist,1
0,intellective,1
0,intend,2
0,intention,1
0,interest,1
0,interesting,1
0,internet,1
0,intimate,1
0,intricate,1
0,involved,1
0,ipad,1
0,item,1
0,jealous,1
0,joyful,1
0,keep,2
0,key,2
0,keyboard,1
0,kind,1
0,know,2
0,knowledge,1
0,lady,1
0,language,1
0,laptop,1
0,laugh,1
0,laughter,1
0,life,2
0,like,4
0,litter,1
0,look,1
0,lotus,1
0,love,3
0,lucky,1
0,lure,1
0,macbook,1
0,major,1
0,make,1
0,manage,1
0,math,1
0,mean,1
0,meaning,2
0,meaningft,1
0,meaningful,1
0,means,1
0,mentality,1
0,messy,1
0,method,1
