source,target,weight
0,一定,1
0,不公,1
0,不指,1
0,不明说,1
0,不要,1
0,不解,1
0,世界,1
0,东西,1
0,丢,1
0,丢弃,1
0,中国,1
0,中笑,1
0,乐,1
0,事,1
0,云,1
0,云朵,1
0,亲人,1
0,亲情,1
0,人,4
0,人情世故,1
0,他,1
0,他人,2
0,付出,1
0,代指,1
0,优先,1
0,优秀,1
0,伙伴,1
0,伤心,1
0,伪善,1
0,伪装,1
0,伴侣,1
0,低谷,1
0,作业,1
0,你,1
0,信号,1
0,信心,1
0,倾斜,1
0,偏偏,1
0,偏少,1
0,偏心,1
0,偏爱,1
0,偏离,1
0,偏转,1
0,偶像,1
0,偷偷,1
0,傻笑,1
0,光明正大,1
0,兔子,1
0,公平,1
0,关注,1
0,关爱,1
0,关系,1
0,兴趣,1
0,内心,1
0,内涵,1
0,冰雪,1
0,准备,1
0,出去,1
0,别扭,1
0,刷子,1
0,剩余,1
0,动物,1
0,劳累,1
0,勇气,1
0,勘探员,1
0,占有,1
0,卷子,3
0,厉害,1
0,压力,1
0,厌,1
0,友情,1
0,双人,1
0,双关,1
0,双向,1
0,受伤,1
0,可乐,1
0,可有可无,1
0,可爱,1
0,右,1
0,吃,1
0,吃食,1
0,吃饭,1
0,同学,1
0,同类,1
0,向上,1
0,向左,1
0,含义,1
0,吸住,1
0,吸收,1
0,吸管,1
0,哭泣,1
0,唯一,1
0,善良,1
0,喜,1
0,喜好,2
0,喜悦,1
0,喜欢,2
0,喜爱,3
0,喝,1
0,嘲笑,1
0,嘴,1
0,固执,1
0,国家,1
0,土豆,1
0,地球,1
0,坏,1
0,坚定,1
0,坚持,1
0,垃圾,1
0,埋汰,1
0,墙,1
0,多些,1
0,大山,1
0,大笑,1
0,天,1
0,天平,1
0,天空,1
0,头发,1
0,奖励,1
0,女朋友,1
0,奶油,1
0,好,2
0,好事,1
0,好友,1
0,好看,1
0,妈妈,1
0,妹妹,1
0,嫌弃,1
0,安全,1
0,宠爱,1
0,宠物,1
0,家人,2
0,家庭,1
0,对号,1
0,对方,1
0,对比,1
0,小人,1
0,小孩,1
0,小猫,1
0,小笑,1
0,尝试,1
0,山,1
0,山峰,1
0,山崖,1
0,山脉,1
0,山顶,1
0,岩石,1
0,巅峰,1
0,左,1
0,布,1
0,帅,1
0,帅气,1
0,带电粒子,1
0,帽子,1
0,干净,1
0,平常,1
0,幸福,3
0,床,2
0,应得,1
0,应有,1
0,废品,1
0,开心,1
0,异性,1
0,引力,1
0,强硬,1
0,彩色,1
0,微信,1
0,心,1
0,心理,3
0,心脏,1
0,必不可少,1
0,必备,1
0,必然,1
0,必要,1
0,必需品,1
0,忠诚,1
0,快乐,3
0,怒,1
0,急需,1
0,恋人,1
0,恨,1
0,悬崖,1
0,悲伤,1
0,情,1
0,情侣,1
0,情感,1
0,情绪,1
0,想法,2
0,愁,1
0,意志,1
0,意象,1
0,感性,1
0,感情,1
0,愤怒,1
0,成功,1
0,我,3
0,戒守,1
0,房间,1
0,手机,2
0,打字,1
0,扫,1
0,技巧,1
0,抓,1
0,投,1
0,抛,1
0,抽象,1
0,拉,1
0,拽,1
0,拾,1
0,拿,1
0,指出,1
0,指向,1
0,指针,1
0,挑战,1
0,捡,1
0,掉,1
0,掉落,1
0,排斥,1
0,接,1
0,推,1
0,推开,1
0,推航,1
0,掷,1
0,揪,1
0,摔伤,1
0,摔倒,1
0,撇,1
0,攀岩,1
0,攀登,1
0,断指,1
0,新奇,1
0,方法,1
0,方面,1
0,旅游,3
0,明亮,1
0,明指,1
0,晚点,1
0,景,1
0,暗含,1
0,暗喻,1
0,暗杀,1
0,暗示,1
0,暴躁,1
0,有用,1
0,有趣,1
0,朋友,2
0,杀手,1
0,条件,1
0,极限,1
0,极限运动,1
0,枕头,1
0,枯燥,1
0,架子,1
0,某个,1
0,栏杆,1
0,树,1
0,树林,1
0,校服,1
0,桶,1
0,梯子,1
0,棉絮,1
0,棉花,1
0,植物,1
0,楼层,1
0,楼梯,1
0,模糊,1
0,橙色,1
0,橡皮,1
