source,target,weight
0,ahead,1
0,belief,1
0,believe,1
0,birth,1
0,complex,1
0,confidence,1
0,courage,1
0,crazy,1
0,defeat,1
0,determine,1
0,determined,1
0,dream,1
0,earth,1
0,face,1
0,fade,1
0,faithful,1
0,faiths,1
0,family,1
0,far,1
0,fash,1
0,fight,1
0,firm,1
0,fish,1
0,flesh,1
0,fly,1
0,fourth,1
0,fresh,1
0,friend,1
0,full,1
0,good,1
0,homework,1
0,housework,1
0,insist,1
0,justice,1
0,oxygen,1
0,people,1
0,religion,1
0,relision,1
0,route,1
0,sacred,1
0,self-confident,1
0,sky,1
0,spiritual,1
0,strong,1
0,success,1
0,tcust,1
0,trust,1
0,truth,1
0,win,1
True,achieve,1
True,admire,1
True,adorable,1
True,adore,1
True,affection,1
True,after,1
True,age,1
True,analyze,1
True,animal,1
True,answer,1
True,appropriate,1
True,assumption,1
True,attract,1
True,aware,1
True,awareness,1
True,brain,1
True,care,1
True,chance,1
True,clother,1
True,complete,1
True,complex,1
True,comprehend,1
True,convert,1
True,correct,1
True,cosmetics,1
True,country,1
True,couple,2
True,cute,1
True,dad,1
True,danger,1
True,desire,1
True,difficult,1
True,dislike,1
True,dream,2
True,enjoy,1
True,faith,1
True,fall,1
True,family,1
True,fault,1
True,favor,1
True,favorite,1
True,fit,1
True,fitting,1
True,fix,1
True,forever,1
True,friend,1
True,friendly,1
True,get,1
True,girl,1
True,glad,1
True,goal,1
True,good,2
True,hag,1
True,happy,1
True,hate,1
True,heart,1
True,helpful,1
True,hit,1
True,hite,1
True,hope,1
True,idea,1
True,important,1
True,improper,1
True,intense,1
True,know,1
True,learn,1
True,like,1
True,likely,1
True,lover,1
True,loving,1
True,make,1
True,man,1
True,marriage,1
True,mean,1
True,meaning,1
True,mental,1
True,mind,1
True,mom,1
True,money,1
True,mother,1
True,normal,1
True,notice,1
True,occasion,1
True,others,1
True,paper,1
True,parent,1
True,people,2
True,permanent,1
True,personal,1
True,personality,1
True,persuade,1
True,pick,1
True,pink,1
True,prefer,1
True,preference,1
True,problem,1
True,prop,1
True,proper,1
True,properly,1
True,properry,1
True,property,1
